,call_id,primary_call_reason
0,4667960400,Voluntary_Cancel
1,1122072124,Booking
2,6834291559,Irrops
3,2266439882,Upgrade
4,1211603231,Seating
5,5297766997,Mileage_Plus
6,324593040,Checkout
7,8902603117,Mileage_Plus
8,7222687732,Mileage_Plus
9,4113684017,Irrops
10,4431106905,Irrops
11,6935939312,Voluntary_Change
12,7892954313,Post_Flight
13,1548659870,Seating
14,3313876732,Check_In
15,9009313118,Post_Flight
16,2421825046,Checkout
17,6365916412,Other_Topics
18,5889442998,Check_In
19,7310794085,Post_Flight
20,9929408549,Irrops
21,8509547639,Seating
22,1093484785,Post_Flight
23,7602289538,Communications
24,8627682007,Check_In
25,2530572183,Voluntary_Change
26,7677239872,Schedule_Change
27,8607543793,Mileage_Plus
28,6102160207,Products&Services
29,8652716010,Seating
30,288434426,Upgrade
31,5289798109,Products&Services
32,3107888571,Mileage_Plus
33,5737349741,Upgrade
34,7890159923,Seating
35,5969151433,Mileage_Plus
36,3311768452,Voluntary_Cancel
37,2200682864,Post_Flight
38,3283019500,Communications
39,3042091300,Seating
40,3241712240,Seating
41,3715152001,Voluntary_Change
42,4165389905,Irrops
43,2141788986,Products&Services
44,7348382478,Irrops
45,5925798000,Communications
46,9724788339,Voluntary_Change
47,845866474,Mileage_Plus
48,5023614450,Irrops
49,5356883601,Mileage_Plus
50,9983959358,Check_In
51,9455719171,Voluntary_Change
52,1461417732,Digital_Support
53,2492747146,Mileage_Plus
54,3099385981,Voluntary_Change
55,6354983973,Post_Flight
56,4290559626,Seating
57,9653448853,Voluntary_Change
58,6788681378,Seating
59,2326492285,Disability
60,1804143506,Voluntary_Change
61,9508402335,Post_Flight
62,4541295276,Mileage_Plus
63,8837237031,Irrops
64,3944632548,Seating
65,3991780429,Voluntary_Change
66,4630350249,Post_Flight
67,3006081887,Unaccompanied_Minor
68,5745907727,Seating
69,2517801923,Voluntary_Change
70,5347725511,Seating
71,3265727999,Irrops
72,291609054,Products&Services
73,5725811355,Schedule_Change
74,2855340256,Irrops
75,1818595932,Communications
76,5706266824,Post_Flight
77,3209820220,Upgrade
78,4498597955,Irrops
79,3494281557,Seating
80,7488458159,Irrops
81,2845747512,Products&Services
82,4126649116,Voluntary_Change
83,691446525,Post_Flight
84,8824481397,Communications
85,3703662675,Seating
86,5466016706,Mileage_Plus
87,2894499901,Irrops
88,3817230689,Post_Flight
89,3182938486,Mileage_Plus
90,3397199569,Irrops
91,7836953676,Post_Flight
92,6627861747,Communications
93,4886165173,Post_Flight
94,8239912427,Mileage_Plus
95,8691681579,Irrops
96,6498077982,Voluntary_Change
97,815115244,Irrops
98,1162237184,Mileage_Plus
99,3723048188,Baggage
100,1286275736,Seating
101,4155225595,Mileage_Plus
102,9310693795,Seating
103,5120262550,Voluntary_Change
104,4963458977,Communications
105,4458776244,Seating
106,6865223937,Irrops
107,2221555263,Irrops
108,7593460378,Voluntary_Change
109,5555212163,Traveler_Updates
110,5633809296,Irrops
111,9748102747,Irrops
112,2457729996,Communications
113,9452610855,Voluntary_Change
114,3628122319,Booking
115,8966807387,Voluntary_Change
116,355940870,Checkout
117,3266080628,Upgrade
118,9426822806,Irrops
119,2150175631,Checkout
120,5892797648,Irrops
121,5842119015,Seating
122,6308193786,Upgrade
123,6964421535,Voluntary_Change
124,6794219624,Mileage_Plus
125,9993775527,Irrops
126,5450426391,Irrops
127,2018280855,Voluntary_Change
128,915962130,Seating
129,7127665247,Voluntary_Change
130,3666446277,Digital_Support
131,8984455291,Checkout
132,1525233923,Upgrade
133,5431519237,Voluntary_Change
134,4346744236,Irrops
135,4816340535,Irrops
136,4809910796,Booking
137,5217078198,Checkout
138,367804319,Voluntary_Cancel
139,972292759,Booking
140,4675010716,Baggage
141,8614154068,Traveler_Updates
142,6186829781,Products&Services
143,9216262244,Irrops
144,9761028950,Voluntary_Change
145,3766236397,Mileage_Plus
146,2593524963,Irrops
